Name,Sex,index,Count
Aaren,F,230785,282
Aaren,M,859778,825
Aareon,F,29159,10
Aareon,M,147635,33
Aareona,F,13440,7
Aari,F,10850,9
Aari,M,62280,10
Aaria,F,148292,386
Aariah,F,142858,276
Aarian,F,146829,59
Aarian,M,325353,131
Aariana,F,171278,436
Aarianna,F,204188,207
Aarib,M,251428,76
Aaric,M,764679,504
Aarica,F,130019,95
Aarick,M,137750,28
Aarie,F,32131,10
Aariel,F,275113,204
Aariella,F,16195,5
Aarielle,F,94915,49
Aarien,M,28647,7
Aarik,M,526274,174
Aarika,F,244929,787
Aariketh,M,29722,6
Aarilyn,F,111633,107
Aarilynn,F,48201,15
Aarin,F,316611,302
Aarin,M,830764,589
Aarini,F,131273,100
Aarion,F,221342,140
Aarion,M,788379,481
Aariona,F,253664,248
Aarionna,F,207672,133
Aaris,F,116695,47
Aaris,M,235966,47
Aarish,M,311991,207
Aarit,M,335261,114
Aariv,M,271423,298
Aariya,F,105110,142
Aariyah,F,87495,531
Aariyan,M,57407,14
Aariyana,F,147478,97
Aariyanna,F,27721,14
Aariyona,F,17635,5
Aariyonna,F,16463,5
Aariz,M,340423,664
Aarjav,M,147484,33
Aarn,M,55874,17
Aarna,F,40149,1438
Aarnav,M,374018,471
Aarnavi,F,111512,53
Aarne,M,19776,10
Aaro,M,158957,66
Aaroh,M,31284,5
Aarohan,M,93006,16
Aarohi,F,136360,592
Aarolyn,F,30769,11
Aaron,F,289457,4307
Aaron,M,1175840,581330
Aarona,F,8291,5
Aaronae,F,16858,5
Aaronda,F,10509,5
Aaronette,F,15829,11
Aaronisha,F,13151,6
Aaronjacob,M,28002,5
Aaronjames,M,388242,100
Aaronjohn,M,117375,21
Aaronjoseph,M,26533,7
Aaronjosh,M,30178,5
Aaronjoshua,M,56527,10
Aaronlee,M,18713,5
Aaronmichael,M,250476,74
Aaronn,M,98572,22
Aaroosh,M,31492,6
Aarren,M,24548,5
Aarron,M,1009527,1234
Aarsh,M,290716,70
Aarshi,F,79988,26
Aarshiya,F,17281,5
Aarthi,F,179971,104
Aarti,F,372503,437
Aaruhi,F,36957,26
Aarunya,F,15603,5
Aarush,M,363236,2230
Aarushi,F,89791,717
Aarushreddy,M,26488,9
Aarvi,F,63848,177
Aarvik,M,28737,6
Aarvin,M,61402,10
Aary,M,30593,5
Aarya,F,78998,1730
Aarya,M,475665,316
Aaryah,F,129247,59
Aaryahi,F,47996,34
Aaryan,F,14575,6
Aaryan,M,381291,1485
Aaryana,F,197391,126
Aaryanna,F,193574,206
Aaryash,M,29724,6
Aaryav,M,225867,148
Aaryn,F,226614,1150
Aaryn,M,805473,684
Aarynn,F,16199,5
Aaryon,M,95101,15
Aaryona,F,32280,10
Aarza,F,41474,19
Aaseem,M,31000,5
Aaser,M,59771,12
Aasha,F,262915,306
Aashana,F,15436,5
Aashay,M,140888,31
Aashi,F,86665,598
Aashia,F,14502,6
Aashika,F,149002,99
Aashini,F,16753,5
Aashir,M,458530,125
Aashirya,F,84749,42
Aashish,M,496360,137
Aashita,F,15500,6
Aashiyana,F,29602,12
Aashka,F,239095,159
Aashman,M,31360,5
Aashna,F,158586,641
Aashni,F,117327,52
Aashray,M,58476,14
Aashrita,F,71730,52
Aashrith,M,322569,130
Aashritha,F,114334,148
Aashriya,F,27222,13
Aashvi,F,124808,376
Aasia,F,285868,225
Aasiah,M,27643,7
Aasim,M,619853,359
Aasin,M,196205,52
Aasir,M,208662,146
Aasiya,F,187766,189
Aasiyah,F,140263,477
Aason,M,199540,54
Aastha,F,185136,266
Aathan,M,31767,5
Aatif,M,54755,10
Aatish,M,93029,16
Aava,F,141229,108
Aavah,F,69492,53
Aavan,M,56779,13
Aavash,M,62160,10
Aaven,M,213490,42
Aavi,M,91602,17
Aavin,M,180054,35
Aavion,M,120639,26
Aavir,M,52086,19
Aavish,M,60134,11
Aavya,F,39997,274
Aavyan,M,91611,16
Aavyn,F,16861,5
Aavyn,M,29892,6
Aaya,F,112390,50
Aayaan,M,238431,51
Aayah,F,86018,37
Aayam,M,116033,27
Aayan,M,355201,1544
Aayana,F,178932,122
Aayanah,F,34489,10
Aayanna,F,109403,38
Aayansh,M,136774,210
Aayat,F,48717,163
Aaydan,M,61434,11
Aayden,F,16755,5
Aayden,M,356560,1513
Aayla,F,68310,447
Aaylah,F,114272,93
Aayliah,F,176151,91
Aayon,M,30597,5
Aayra,F,50565,74
Aayu,M,29961,6
Aayush,M,469869,1206
Aayusha,F,30961,11
Aayushi,F,170465,236
Aazan,M,31770,5
Aazeen,F,28591,12
Aazil,M,29560,6
Aazim,M,115337,29
Aaziyah,F,55153,28
Ab,M,504751,362
Aba,F,62920,27
Aba,M,32107,5
Abaan,M,237234,51
Abaas,M,29561,6
Abad,M,395118,87
Abagael,F,208154,210
Abagail,F,166156,5682
Abagaile,F,46814,15
Abagale,F,205352,366
Abagayle,F,186432,346
Abaigael,F,41998,19
Abaigail,F,33931,10
Abaigeal,F,266586,330
Aban,M,149173,31
Abanoub,M,529210,157
Abas,M,350227,82
Abasi,M,110481,40
Abass,M,439485,91
Abayomi,M,611529,221
Abb,M,121743,96
Abba,F,4433,6
Abba,M,197652,46
Abbaas,M,28750,5
Abbagail,F,215580,846
Abbagale,F,209742,139
Abbagayle,F,208130,112
Abbas,M,852796,1350
Abbe,F,312973,1325
Abbee,F,256435,163
Abbegail,F,198221,246
Abbegale,F,154662,82
Abbegayle,F,124146,73
Abbey,F,156274,17206
Abbey,M,88503,35
Abbeygail,F,162520,66
Abbeygale,F,38682,22
Abbi,F,176220,2014
Abbie,F,108385,21513
Abbie,M,328795,325
Abbiegail,F,186594,243
Abbiegale,F,105625,58
Abbiegayle,F,45196,18
Abbigael,F,216214,162
Abbigail,F,142443,11631
Abbigail,M,30181,5
Abbigaile,F,132374,91
Abbigal,F,205220,157
Abbigale,F,136192,2143
Abbigayl,F,75815,29
Abbigayle,F,171176,1311
Abbilyn,F,30468,12
Abbot,M,128480,28
Abbott,F,59703,24
Abbott,M,1016196,1050
Abbra,F,28404,36
Abbriella,F,72623,31
Abbrielle,F,138321,83
Abby,F,137184,58236
Abby,M,526023,181
Abbye,F,234112,184
Abbygael,F,132386,70
Abbygail,F,109403,3423
Abbygaile,F,96170,47
Abbygale,F,139453,786
Abbygayl,F,15409,6
Abbygayle,F,162107,445
Abbylynn,F,45116,18
Abcde,F,197623,380
Abd,M,84768,17
Abdala,M,30713,6
Abdalah,M,31488,6
Abdalla,M,697382,309
